Date,Open,High,Low,Close
04/15/2024,"3,183.61","3,196.08","3,175.41","3,183.61"
04/12/2024,"3,230.34","3,230.60","3,215.70","3,216.91"
04/11/2024,"3,208.56","3,232.12","3,205.68","3,227.61"
04/09/2024,"3,228.78","3,247.89","3,220.72","3,237.52"
04/08/2024,"3,218.14","3,223.53","3,210.35","3,215.99"
04/05/2024,"3,217.46","3,218.26","3,218.26","3,218.26"
04/04/2024,"3,238.62","3,235.01","3,235.01","3,235.01"
04/03/2024,"3,233.14","3,233.91","3,209.43","3,222.66"
04/02/2024,"3,233.84","3,252.82","3,230.48","3,247.72"
04/01/2024,"3,231.48","3,251.15","3,222.32","3,234.89"
